"Data Source","World Development Indicators",

"Last Updated Date","2023-05-10",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bangladesh","BGD","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","2133412390.83423","2176800749.0392","2756841485.46562","2864889440.42552","3897787498.58793","4205166675.3729","4036627181.25118","3498869603.3914","4142760601.64577","4392258177.19763","4424658649.70591","3555728424.62779","1895741993.64269","3216884366.62314","3879710978.11617","3391173083.41843","3338754097.875","3911215316.07911","4090622386.74004","4955094425.87031","4765762700.0618","5004492031.29523","5173521012.05375","5375240085.46756","5892799399.74223","6257471488.6718","6689766274.26524","7266885214.72411","7493831991.84357","7777034856.4927","8344566345.67047","8737670387.76887","9348363931.81707","10105037953.0911","10926544109.8084","12033880172.1737","12844569789.7461","13515760468.1575","14695267553.1313","15465491352.3892","16432977132.4987","17659153249.3155","18683915647.3843","19913634872.8566","21317401113.95","23008376449.1376","25262714155.2692","27543388595.8619","29480662208.9085","31518711464.0791","33735170908.8562","36777789889.5126","40247994577.7336","44127643227.4819","47728465196.6195","52342330516.1637","58149049351.0053","62959234573.5079","69378440975.9855","77449459420.8781","80246229076.0996","88501241016.5276","",
"Bulgaria","BGR","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","5788074683.17842","6104548828.49694","6675113981.52346","7185036409.54432","7625573863.63636","8014026525.73112","8430188378.4856","8883209879.84583","9763914589.09544","9858156910.56449","8625887294.8311","7021472285.19609","6572098050.32872","6164627975.51575","6534505610.97256","6177036386.30695","6172234187.25912","6717570278.84833","6801065518.02312","6693145545.22783","7443993992.29199","7909638970.75493","8274340852.41441","8914116413.51167","9267085694.85377","9669864543.18748","10538593856.2684","11779191226.4793","12326984810.7005","11819152119.7007","11140118453.8653","11441112559.5103","11938440829.7438","11615660847.8803","11684546588.0753","12199120947.6309","12678045227.8395","12802556676.4906","12801951938.336","12792328270.2335","11740968034.4593","11942495465.8808","",
"Bahrain","BHR","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9452814226.73009","10093808699.0277","10566876258.8227","10574815889.0418","10822686664.4402","10979836586.7081","10787344109.8599","11747193136.192","12307745963.1348","12468031914.8936","12823622814.3933","12894158588.8164","13031712309.0256","13326827617.5962","13166947109.6501","13219727730.4387","",
"Bahamas, The","BHS","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","689393753.163636","655977375.894287","637733110.570482","646383211.233341","577056586.284465","646776167.019251","642668579.895635","662282515.957972","793383266.342289","688133841.054933","566834109.01911","625592990.621254","408913849.516959","514808976.799944","780284740.145265","685089817.361258","837752217.756152","750490205.204146","362976764.685142","723001748.818842","683429440.801072","1028049820.18193","1156821246.73859","1288913426.41563","1202481602.14371","1342598935.19498","1308100000","1279596869.05014","1361785508.77935","1256259354.0653","1241592694.45032","813123298.780058","882305655.454481","",
"Bosnia and Herzegovina","BIH","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2028979165.00444","2114277878.58346","2179216571.99829","2310381285.00841","2498880552.87846","2752028749.52665","3013582729.08764","3257671045.93767","3555359753.09669","3392297567.42241","3447805811.19548","3436703345.88298","3348275968.10343","3479952447.42395","3540082635.62116","3668089367.73462","3841515941.12626","4035252407.10109","4190641387.0331","4168429538.34829","4106778511.09902","4471049064.29075","",
"Belarus","BLR","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7543640503.27046","7575311955.24792","6939794304.50151","6126937551.05439","5063223092.23571","4382669177.3654","4530481691.81883","5344346989.94137","5923763102.87442","6372232329.70199","6742895486.08619","7066536522.1583","7559170209.59618","8361773122.72751","9936273396.19333","11283081887.5152","12878775713.48","14076527813.924","16264464590.8602","16313866929.7096","18285251053.7908","19609743135.9604","20009222413.4823","19624939012.8806","19919700623.0156","18456423458.4955","17594472016.3449","18220602599.4441","17452316687.0862","17963533617.2001","17327262597.416","18487595482.4198","",
"Belize","BLZ","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","48010700.1765111","50993506.289301","57977653.4582654","63207836.8635422","70484580.9513336","74966932.7918678","74575976.7171362","85932145.2260964","92424065.2157295","97702457.5493942","134777247.098965","139962391.706549","136942480.497348","134697375.107233","132715590.960698","134068226.806083","138838501.13284","152741676.133718","161541366.843503","185555211.9489","205944879.584723","222934097.46893","245899173.969385","269308735.821461","241750644.020916","240664124.272507","236318045.278873","235231525.530464","228959343.346469","253652973.992119","328622836.632313","325857150","325955924.522583","292668910.412246","315485825.128827","310250775.431949","356230315.69415","378899068.626857","360576394.687784","381368431.691422","338796612.458321","332425655.751743","298891705.33495","312473202.190058","333907273.590482","325857150","351736074.916641","326993057.0097","327486929.622613","345760216.300394","339685583.161564","390900173.120643","",
"Bermuda","BMU","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","477752400.341242","409246299.259114","371008589.956611","357249187.361829","344534565.109573","341004000","343694152.977761","358067702.899636","386395639.372433","446843793.860709","372815580.309502","373198249.357114","",
"Bolivia","BOL","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","1145288992.62877","1128512298.35583","1242593819.13512","1366728442.64292","1458425878.07265","1608135976.73932","1752231946.77445","1961826084.90779","2079722787.66904","2228809094.27835","2321754113.88045","2490760721.23248","2794467202.84448","3072903099.74149","3146647260.52192","3250103502.7486","3376839313.89831","3596080780.56294","3631000134.00512","3466588178.35656","3270473240.74293","3161786158.3172","2869774317.62905","2836607996.19007","2715823203.57779","2517208539.99363","2277680629.40544","2359735671.98918","2454383658.86017","2650597258.16502","2838525554.59149","2958137105.90582","3011333444.41121","3174701223.10639","3323191454.87184","3555402361.04425","3664213850.01884","3800302993.85393","4069402122.76827","3989589225.60586","4086666833.43931","4095139852.36863","4204850462.15639","4242489076.35983","4509887963.60823","4801888357.38669","5134865474.60801","5494199335.29722","6075477338.07196","6251438457.561","6491687608.72075","6807597571.66179","7161858954.4006","7701151756.4929","8104416751.19592","8316847330.34974","8650216978.87343","8844782879.02863","9046168011.12425","9057303790.4454","7984912708.26603","8748389140.41026","",
"Brazil","BRA","Industry (including construction), value added (constant 2015 US$)","NV.IND.TOTL.KD","43421037730.4758","47544389946.7393","50845698208.2893","50918056512.6586","54077242071.2778","53308176200.5773","59045779611.9948","61000881098.5447","69807616371.4276","77565338363.9919","90252747526.4035","100912156019.865","115230424581.47","134864058702.678","146319246438.678","153490179032.161","171503448377.153","176896433715.206","188288259844.15","201086523222.157","219687026620.207","200266693466.981","200186586789.594","188335540851.65","200219513479.389","216777667244.134","242053943244.8","244450277282.924","238094570073.568","244904074777.672","224870921460.858","225455585869.9","215941360140.938","231078849471.999","246633495755.961","251349651298.637","253799346712.24","264903048957.387","259366563732.66","252602502886.54","263746911760.787","262052601638.044","272019037006.642","272300902065.297","294670120458.504","300546983423.238","306577322844.038","325605547645.047","338954109816.091","323015508687.254","355973011344.225","370618898481.213","367939974815.507","375910358407.845","370240939276.701","348909495295.921","332977246072.588","331309929146.621","333685358849.283","331449541656.315","320177180721.405","334515398006.464","",
